x0000,y0000
1750.9640521089,3726.8357
1750.291490734,3725.3525
1749.6188467728,3718.6248
1748.9461202121,3711.3247
1748.2733110385,3710.4434
1747.6004192389,3709.5898
1746.9274447999,3702.392
1746.2543877083,3699.4814
1745.5812479508,3710.567
1744.908025514,3721.6794
1744.2347203847,3712.171
1743.5613325496,3692.6565
1742.8878619954,3691.8113
1742.2143087087,3709.7034
1741.5406726764,3723.6248
1740.8669538851,3725.9377
1740.1931523214,3725.9805
1739.5192679722,3726.738
1738.8453008239,3719.0398
1738.1712508634,3701.686
1737.4971180774,3692.606
1736.8229024524,3703.355
1736.1486039752,3719.0532
1735.4742226324,3717.4263
1734.7997584107,3696.242
1734.1252112968,3676.8633
1733.4505812773,3679.4385
1732.7758683389,3700.0435
1732.1010724683,3723.3284
1731.4261936521,3745.2544
1730.7512318769,3767.9807
1730.0761871294,3783.283
1729.4010593962,3776.4338
1728.7258486640,3747.7417
1728.0505549195,3716.7463
1727.3751781492,3700.105
1726.6997183397,3698.8828
1726.0241754778,3705.6055
1725.3485495500,3711.1187
1724.6728405430,3710.118
1723.9970484434,3707.6328
1723.3211732378,3711.8218
1722.6452149128,3721.7092
1721.969173455,3732.3154
1721.2930488510,3739.1584
1720.6168410875,3733.716
1719.9405501510,3714.144
1719.2641760282,3697.007
1718.5877187056,3697.5723
1717.9111781698,3709.4294
1717.2345544074,3717.723
1716.5578474051,3719.1956
1715.8810571493,3719.9478
1715.2041836268,3720.5505
1714.5272268239,3716.75
1713.8501867274,3710.3674
1713.1730633238,3704.9353
1712.4958565996,3701.388
1711.8185665415,3703.3464
1711.1411931360,3712.3801
1710.4637363696,3721.6292
1709.786196229,3725.6519
1709.1085727006,3727.8926
1708.4308657710,3728.1565
1707.7530754268,3714.943
1707.0752016546,3686.3713
1706.3972444407,3666.1335
1705.7192037719,3677.8606
1705.0410796346,3715.9634
1704.3628720154,3755.3586
1703.6845809007,3776.4214
1703.0062062772,3777.2974
1702.3277481313,3766.3044
1701.6492064496,3751.518
1700.9705812185,3742.0684
1700.2918724247,3743.1755
1699.6130800546,3747.8003
1698.9342040947,3746.4246
1698.2552445315,3741.349
1697.5762013516,3739.5515
1696.8970745413,3740.187
1696.2178640874,3737.5686
1695.5385699761,3731.9128
1694.8591921940,3729.4578
1694.1797307277,3732.3857
1693.5001855635,3737.6472
1692.8205566880,3738.418
1692.1408440877,3726.6077
1691.4610477489,3707.4907
1690.7811676583,3704.0652
1690.1012038022,3733.6775
1689.4211561672,3780.2231
1688.7410247396,3802.1965
1688.0608095060,3780.79
1687.3805104528,3743.0698
1686.7001275665,3721.5242
1686.0196608335,3716.2876
1685.3391102403,3713.4993
1684.6584757733,3713.058
1683.977757419,3722.449
1683.2969551637,3740.5222
1682.6160689940,3757.3223
1681.9350988963,3764.0996
1681.2540448569,3759.8538
1680.5729068624,3754.1763
1679.8916848991,3759.6655
1679.2103789535,3772.6216
1678.5289890120,3776.0842
1677.847515061,3761.2654
1677.1659570869,3731.4133
1676.4843150761,3704.1917
1675.8025890151,3705.3687
1675.1207788902,3732.683
1674.4388846878,3752.7644
1673.7569063944,3751.1125
1673.0748439963,3745.476
1672.3926974799,3745.8835
1671.7104668317,3741.7588
1671.0281520379,3728.7644
1670.345753085,3719.0754
1669.6632699593,3720.8713
1668.9807026473,3726.0088
1668.2980511352,3724.7283
1667.6153154096,3719.8062
1666.9324954566,3716.7432
1666.2495912628,3713.5989
1665.5666028144,3710.7075
1664.8835300979,3710.4707
1664.2003730995,3706.592
1663.5171318056,3693.3303
1662.8338062027,3681.518
1662.1503962769,3690.5757
1661.4669020147,3725.5354
1660.7833234024,3769.5486
1660.0996604263,3795.9329
1659.4159130728,3788.3315
1658.7320813282,3753.274
1658.0481651788,3712.186
1657.3641646109,3685.129
1656.6800796109,3679.196
1655.9959101652,3685.9392
1655.3116562599,3690.3188
1654.6273178814,3687.5354
1653.9428950160,3690.5984
1653.2583876501,3709.9927
1652.5737957699,3733.9365
1651.8891193617,3746.0508
1651.2043584119,3748.1648
1650.5195129066,3749.0188
1649.8345828323,3749.5276
1649.1495681752,3753.6807
1648.4644689215,3768.375
1647.7792850576,3785.7654
1647.0940165697,3794.9512
1646.4086634442,3799.061
1645.7232256672,3797.5942
1645.0377032251,3780.2625
1644.3520961041,3750.4133
1643.6664042904,3728.057
1642.9806277704,3724.802
1642.2947665303,3730.6292
1641.6088205564,3731.4749
1640.9227898348,3728.64
1640.2366743519,3729.3352
1639.5504740939,3735.598
1638.864189047,3748.3682
1638.1778191975,3762.655
1637.4913645315,3766.7063
1636.8048250354,3758.3013
1636.1182006954,3749.3708
1635.4314914976,3749.795
1634.7446974284,3757.5186
1634.0578184739,3766.236
1633.3708546203,3774.7834
1632.6838058539,3788.0073
1631.9966721608,3805.1287
1631.3094535273,3815.6797
1630.6221499396,3815.9126
1629.9347613839,3813.8652
1629.2472878463,3815.4958
1628.5597293131,3819.7424
1627.8720857705,3823.5833
1627.1843572046,3821.811
1626.4965436016,3811.978
1625.8086449478,3802.1897
1625.1206612292,3797.2236
1624.4325924321,3786.4575
1623.7444385427,3763.771
1623.0561995471,3744.8472
1622.3678754314,3746.4985
1621.6794661819,3760.8572
1620.9909717847,3773.1902
1620.3023922259,3782.6238
1619.6137274918,3785.029
1618.9249775684,3770.6301
1618.2361424419,3744.5881
1617.5472220985,3721.88
1616.8582165243,3711.7087
1616.1691257054,3717.6375
1615.479949628,3740.014
1614.7906882781,3773.6296
1614.1013416421,3801.772
1613.4119097058,3803.3643
1612.7223924556,3774.3716
1612.0327898774,3738.5725
1611.3431019575,3730.8994
1610.6533286819,3752.911
1609.9634700367,3764.8872
1609.2735260081,3745.2986
1608.5834965821,3718.072
1607.8933817449,3710.3464
1607.2031814825,3721.2585
1606.5128957811,3729.3662
1605.8225246267,3716.8984
1605.1320680054,3691.7542
1604.4415259033,3676.5461
1603.7508983066,3679.5786
1603.0601852012,3694.8643
1602.3693865732,3716.7212
1601.6785024088,3741.1191
1600.9875326939,3765.2046
1600.2964774147,3784.6445
1599.6053365572,3790.661
1598.9141101075,3779.6667
1598.2227980517,3759.497
1597.5314003757,3738.6208
1596.8399170657,3719.7554
1596.1483481076,3704.9329
1595.4566934876,3697.737
1594.7649531917,3697.44
1594.0731272058,3699.2964
1593.3812155161,3705.923
1592.6892181086,3725.5596
1591.9971349693,3757.4534
1591.3049660843,3792.5078
1590.6127114395,3823.4785
1589.9203710209,3841.6284
1589.2279448147,3835.338
1588.5354328067,3804.2031
1587.8428349831,3764.9563
1587.1501513298,3735.5444
1586.4573818328,3722.9246
1585.7645264782,3725.131
1585.0715852518,3730.881
1584.3785581398,3728.3157
1583.6854451281,3719.3354
1582.9922462027,3711.9888
1582.2989613495,3710.2031
1581.6055905547,3718.9768
1580.9121338040,3741.8582
1580.2185910836,3767.1287
1579.5249623794,3775.129
1578.8312476773,3765.7336
1578.1374469633,3753.3445
1577.4435602234,3742.442
1576.7495874436,3736.9897
1576.0555286098,3745.4902
1575.3613837079,3760.2415
1574.6671527239,3767.2688
1573.9728356438,3770.2188
1573.2784324534,3777.0112
1572.5839431388,3783.2473
1571.8893676859,3785.3857
1571.1947060805,3789.6282
1570.4999583087,3797.8503
1569.8051243564,3799.1597
1569.1102042094,3788.0906
1568.4151978538,3779.7307
1567.7201052753,3789.2632
1567.0249264600,3806.3682
1566.3296613938,3811.5654
1565.6343100625,3805.9424
1564.9388724521,3803.1416
1564.2433485485,3809.6287
1563.5477383375,3824.7825
1562.8520418051,3841.6155
1562.1562589372,3847.2683
1561.4603897196,3836.903
1560.7644341382,3818.0508
1560.0683921789,3794.1274
1559.3722638277,3764.2805
1558.6760490703,3741.8525
1557.9797478926,3744.5327
1557.2833602806,3765.5432
1556.5868862200,3783.9014
1555.8903256968,3799.7449
1555.1936786968,3827.913
1554.4969452059,3861.8115
1553.8001252099,3878.4292
1553.1032186947,3878.3723
1552.4062256460,3882.4316
1551.7091460499,3891.583
1551.0119798920,3887.1191
1550.3147271583,3860.6616
1549.6173878346,3822.1885
1548.9199619066,3792.0288
1548.2224493603,3789.9114
1547.5248501815,3813.9075
1546.827164356,3835.8184
1546.1293918696,3834.7297
1545.4315327081,3819.7583
1544.7335868573,3810.2874
1544.0355543031,3812.7107
1543.3374350312,3823.1968
1542.6392290275,3840.0117
1541.9409362777,3863.6047
1541.2425567677,3888.7754
1540.5440904832,3903.3467
1539.8455374101,3901.566
1539.1468975340,3891.5796
1538.4481708409,3884.2686
1537.7493573165,3884.9966
1537.0504569465,3892.1187
1536.3514697168,3898.19
1535.6523956131,3897.1064
1534.9532346212,3888.363
1534.2539867268,3876.0103
1533.5546519157,3871.403
1532.8552301736,3887.307
1532.1557214864,3920.8284
1531.4561258398,3953.9211
1530.7564432194,3971.2915
1530.0566736112,3968.9421
1529.3568170007,3950.6995
1528.6568733738,3924.5793
1527.9568427161,3900.3743
1527.2567250135,3884.147
1526.5565202516,3878.3242
1525.8562284161,3887.8645
1525.1558494929,3913.294
1524.4553834675,3941.9688
1523.7548303258,3956.874
1523.0541900534,3950.1362
1522.3534626361,3930.667
1521.6526480595,3921.521
1520.9517463093,3937.4326
1520.2507573713,3969.9807
1519.5496812312,4005.6616
1518.8485178746,4039.2705
1518.1472672873,4063.511
1517.4459294549,4068.353
1516.7445043630,4049.3303
1516.0429919975,4013.1008
1515.3413923439,3980.5933
1514.639705388,3963.9722
1513.9379311154,3950.1243
1513.2360695117,3932.1765
1512.5341205627,3923.4246
1511.8320842540,3927.3977
1511.1299605713,3931.229
1510.4277495001,3929.2217
1509.7254510263,3932.0632
1509.0230651353,3949.158
1508.3205918129,3972.726
1507.6180310447,3988.9653
1506.9153828164,3996.4763
1506.2126471135,4005.334
1505.5098239217,4019.6926
1504.8069132267,4029.8008
1504.103915014,4026.557
1503.4008292693,4013.9834
1502.6976559782,4002.8882
1501.9943951263,3997.2046
1501.2910466992,3988.9434
1500.5876106826,3975.614
1499.8840870620,3970.3281
1499.1804758231,3979.1091
1498.4767769514,3990.9626
1497.7729904325,3998.0598
1497.0691162521,4005.2402
1496.3651543957,4016.9875
1495.6611048489,4028.092
1494.9569675973,4033.176
1494.2527426265,4035.8516
1493.548429922,4037.4487
1492.8440294694,4030.8845
1492.1395412543,4016.3315
1491.4349652623,4009.0493
1490.7303014789,4026.853
1490.0255498896,4069.5144
1489.3207104801,4109.1484
1488.6157832359,4114.964
