x0000,y0000
1994.9090361446,4542.3
1994.0132530120,4596.9
1993.1174698795,4608.
1992.221686747,4642.1
1991.3259036145,4636.6
1990.4301204819,4697.7
1989.5343373494,4601.1
1988.6385542169,4556.8
1987.7427710843,4647.2
1986.8469879518,4539.3
1985.9512048193,4595.5
1985.0554216867,4563.6
1984.1596385542,4707.7
1983.2638554217,4547.3
1982.3680722892,4710.1
1981.4722891566,4762.7
1980.5765060241,4619.
1979.6807228916,4653.
1978.7849397590,4612.8
1977.8891566265,4718.9
1976.993373494,4664.8
1976.0975903614,4630.8
1975.2018072289,4756.6
1974.3060240964,4653.3
1973.4102409639,4566.9
1972.5144578313,4659.1
1971.6186746988,4583.3
1970.7228915663,4718.4
1969.8271084337,4687.1
1968.9313253012,4711.6
1968.0355421687,4701.8
1967.1397590361,4701.2
1966.2439759036,4656.3
1965.3481927711,4735.
1964.4524096386,4701.5
1963.5566265060,4768.6
1962.6608433735,4743.
1961.765060241,4742.1
1960.8692771084,4673.9
1959.9734939759,4751.9
1959.0777108434,4673.2
1958.1819277108,4725.9
1957.2861445783,4741.
1956.3903614458,4664.
1955.4945783133,4713.7
1954.5987951807,4738.3
1953.7030120482,4743.8
1952.8072289157,4760.7
1951.9114457831,4724.7
1951.0156626506,4772.1
1950.1198795181,4737.2
1949.2240963855,4733.5
1948.3283132530,4653.3
1947.4325301205,4749.2
1946.536746988,4710.8
1945.6409638554,4803.9
1944.7451807229,4734.4
1943.8493975904,4725.5
1942.9536144578,4773.5
1942.0578313253,4789.
1941.1620481928,4814.9
1940.2662650602,4828.1
1939.3704819277,4754.9
1938.4746987952,4857.6
1937.5789156627,4870.1
1936.6831325301,4859.
1935.7873493976,4717.3
1934.8915662651,4813.8
1933.9957831325,4852.2
1933.1000000000,4825.8
1932.2042168675,4928.6
1931.3084337349,4906.4
1930.4126506024,4908.9
1929.5168674699,4809.7
1928.6210843373,4802.9
1927.7253012048,4998.
1926.8295180723,4924.8
1925.9337349398,4846.
1925.0379518072,4801.7
1924.1421686747,4914.
1923.2463855422,5017.9
1922.3506024096,4905.7
1921.4548192771,4977.9
1920.5590361446,5051.1
1919.6632530120,5075.9
1918.7674698795,4894.1
1917.871686747,5026.8
1916.9759036145,4939.9
1916.0801204819,5042.8
1915.1843373494,4992.8
1914.2885542169,5087.5
1913.3927710843,5037.1
1912.4969879518,5208.6
1911.6012048193,5173.
1910.7054216867,5150.9
1909.8096385542,5252.
1908.9138554217,5341.8
1908.0180722892,5139.5
1907.1222891566,5242.6
1906.2265060241,5361.6
1905.3307228916,5322.
1904.4349397590,5372.8
1903.5391566265,5399.3
1902.643373494,5512.8
1901.7475903614,5453.3
1900.8518072289,5433.2
1899.9560240964,5464.8
1899.0602409639,5541.1
1898.1644578313,5646.8
1897.2686746988,5705.5
1896.3728915663,5743.3
1895.4771084337,5823.7
1894.5813253012,5916.1
1893.6855421687,5879.8
1892.7897590361,6011.6
1891.8939759036,5956.3
1890.9981927711,6001.7
1890.1024096386,6068.2
1889.2066265060,6241.7
1888.3108433735,6138.2
1887.415060241,6243.7
1886.5192771084,6125.7
1885.6234939759,6406.6
1884.7277108434,6285.7
1883.8319277108,6227.3
1882.9361445783,6416.6
1882.0403614458,6398.5
1881.1445783133,6353.7
1880.2487951807,6321.7
1879.3530120482,6405.5
1878.4572289157,6343.1
1877.5614457831,6358.5
1876.6656626506,6324.4
1875.7698795181,6401.7
1874.8740963855,6251.6
1873.9783132530,6348.
1873.0825301205,6251.2
1872.186746988,6141.7
1871.2909638554,6126.
1870.3951807229,6210.2
1869.4993975904,6180.4
1868.6036144578,6240.8
1867.7078313253,6214.2
1866.8120481928,6215.6
1865.9162650602,6198.9
1865.0204819277,6144.4
1864.1246987952,6149.1
1863.2289156627,6287.3
1862.3331325301,6159.9
1861.4373493976,6092.7
1860.5415662651,6099.6
1859.6457831325,6157.3
1858.7500000000,6204.4
1857.8542168675,6112.6
1856.9584337349,6169.3
1856.0626506024,6083.4
1855.1668674699,6097.5
1854.2710843373,6082.2
1853.3753012048,6010.7
1852.4795180723,6193.4
1851.5837349398,6021.5
1850.6879518072,5812.8
1849.7921686747,5939.1
1848.8963855422,5675.1
1848.0006024096,5697.1
1847.1048192771,5608.7
1846.2090361446,5592.3
1845.3132530120,5581.3
1844.4174698795,5503.5
1843.521686747,5490.5
1842.6259036145,5523.9
1841.7301204819,5352.9
1840.8343373494,5280.8
1839.9385542169,5243.7
1839.0427710843,5182.
1838.1469879518,5148.9
1837.2512048193,5154.5
1836.3554216867,5011.7
1835.4596385542,4968.4
1834.5638554217,4962.3
1833.6680722892,4931.
1832.7722891566,4868.8
1831.8765060241,4940.4
1830.9807228916,4806.1
1830.0849397590,4683.2
1829.1891566265,4777.1
1828.293373494,4759.
1827.3975903614,4741.
1826.5018072289,4667.8
1825.6060240964,4602.9
1824.7102409639,4605.9
1823.8144578313,4676.
1822.9186746988,4627.3
1822.0228915663,4605.9
1821.1271084337,4616.6
1820.2313253012,4548.4
1819.3355421687,4592.9
1818.4397590361,4654.5
1817.5439759036,4570.
1816.6481927711,4521.4
1815.7524096386,4606.7
1814.8566265060,4616.6
1813.9608433735,4565.5
1813.065060241,4557.4
1812.1692771084,4607.5
1811.2734939759,4617.1
1810.3777108434,4685.2
1809.4819277108,4587.8
