x0000,y0000
1994.9090361446,5270.4
1994.0132530120,5248.7
1993.1174698795,5296.6
1992.221686747,5324.3
1991.3259036145,5340.1
1990.4301204819,5293.1
1989.5343373494,5281.1
1988.6385542169,5369.3
1987.7427710843,5338.2
1986.8469879518,5320.7
1985.9512048193,5294.
1985.0554216867,5336.7
1984.1596385542,5435.6
1983.2638554217,5209.3
1982.3680722892,5403.3
1981.4722891566,5392.9
1980.5765060241,5326.1
1979.6807228916,5337.6
1978.7849397590,5390.5
1977.8891566265,5527.5
1976.993373494,5481.7
1976.0975903614,5417.4
1975.2018072289,5518.
1974.3060240964,5407.2
1973.4102409639,5356.1
1972.5144578313,5376.1
1971.6186746988,5315.7
1970.7228915663,5442.7
1969.8271084337,5419.9
1968.9313253012,5458.9
1968.0355421687,5478.9
1967.1397590361,5522.9
1966.2439759036,5408.7
1965.3481927711,5347.1
1964.4524096386,5364.5
1963.5566265060,5519.5
1962.6608433735,5540.4
1961.765060241,5496.9
1960.8692771084,5380.3
1959.9734939759,5347.7
1959.0777108434,5495.
1958.1819277108,5420.6
1957.2861445783,5617.7
1956.3903614458,5397.
1955.4945783133,5455.1
1954.5987951807,5434.
1953.7030120482,5476.8
1952.8072289157,5503.7
1951.9114457831,5362.
1951.0156626506,5607.
1950.1198795181,5505.8
1949.2240963855,5439.7
1948.3283132530,5401.7
1947.4325301205,5544.5
1946.536746988,5508.6
1945.6409638554,5562.3
1944.7451807229,5484.4
1943.8493975904,5533.6
1942.9536144578,5542.9
1942.0578313253,5501.8
1941.1620481928,5527.2
1940.2662650602,5636.9
1939.3704819277,5498.6
1938.4746987952,5597.
1937.5789156627,5567.7
1936.6831325301,5589.4
1935.7873493976,5544.8
1934.8915662651,5521.6
1933.9957831325,5491.8
1933.1000000000,5595.5
1932.2042168675,5594.
1931.3084337349,5635.6
1930.4126506024,5677.
1929.5168674699,5579.1
1928.6210843373,5680.6
1927.7253012048,5757.4
1926.8295180723,5581.8
1925.9337349398,5608.9
1925.0379518072,5616.6
1924.1421686747,5606.9
1923.2463855422,5773.9
1922.3506024096,5666.3
1921.4548192771,5621.6
1920.5590361446,5750.7
1919.6632530120,5765.9
1918.7674698795,5702.
1917.871686747,5841.8
1916.9759036145,5691.
1916.0801204819,5758.2
1915.1843373494,5812.6
1914.2885542169,5786.7
1913.3927710843,5690.3
1912.4969879518,5933.9
1911.6012048193,5830.
1910.7054216867,5908.3
1909.8096385542,5859.6
1908.9138554217,5931.5
1908.0180722892,5865.2
1907.1222891566,5996.4
1906.2265060241,6090.2
1905.3307228916,6156.
1904.4349397590,6164.4
1903.5391566265,6178.3
1902.643373494,6159.4
1901.7475903614,6202.
1900.8518072289,6246.8
1899.9560240964,6238.6
1899.0602409639,6310.4
1898.1644578313,6283.4
1897.2686746988,6401.1
1896.3728915663,6499.
1895.4771084337,6558.6
1894.5813253012,6598.8
1893.6855421687,6592.9
1892.7897590361,6669.2
1891.8939759036,6689.9
1890.9981927711,6797.
1890.1024096386,6866.3
1889.2066265060,6863.7
1888.3108433735,6907.2
1887.415060241,6970.4
1886.5192771084,6858.
1885.6234939759,7043.7
1884.7277108434,7051.8
1883.8319277108,7032.6
1882.9361445783,7043.
1882.0403614458,7096.7
1881.1445783133,7243.1
1880.2487951807,7170.2
1879.3530120482,7160.3
1878.4572289157,7130.5
1877.5614457831,7185.2
1876.6656626506,7099.
1875.7698795181,7280.1
1874.8740963855,7059.6
1873.9783132530,7229.3
1873.0825301205,6987.8
1872.186746988,7156.4
1871.2909638554,7043.2
1870.3951807229,6906.4
1869.4993975904,7021.2
1868.6036144578,6993.4
1867.7078313253,7040.
1866.8120481928,6852.4
1865.9162650602,6940.8
1865.0204819277,6952.6
1864.1246987952,6864.4
1863.2289156627,7014.2
1862.3331325301,7130.4
1861.4373493976,6938.4
1860.5415662651,7057.5
1859.6457831325,7004.8
1858.7500000000,6949.2
1857.8542168675,6890.2
1856.9584337349,6979.9
1856.0626506024,6925.1
1855.1668674699,6933.9
1854.2710843373,6847.1
1853.3753012048,6878.5
1852.4795180723,6958.2
1851.5837349398,6796.9
1850.6879518072,6641.5
1849.7921686747,6757.1
1848.8963855422,6581.1
1848.0006024096,6605.4
1847.1048192771,6561.8
1846.2090361446,6457.4
1845.3132530120,6439.6
1844.4174698795,6281.7
1843.521686747,6408.8
1842.6259036145,6363.9
1841.7301204819,6157.3
1840.8343373494,6186.2
1839.9385542169,6141.6
1839.0427710843,6029.7
1838.1469879518,5978.2
1837.2512048193,5960.7
1836.3554216867,5921.7
1835.4596385542,5718.2
1834.5638554217,5792.
1833.6680722892,5794.3
1832.7722891566,5693.9
1831.8765060241,5759.9
1830.9807228916,5698.7
1830.0849397590,5593.1
1829.1891566265,5550.3
