x0000,y0000
1994.9090361446,4575.5
1994.0132530120,4585.5
1993.1174698795,4749.9
1992.221686747,4586.6
1991.3259036145,4749.8
1990.4301204819,4639.2
1989.5343373494,4697.7
1988.6385542169,4750.6
1987.7427710843,4610.
1986.8469879518,4632.8
1985.9512048193,4676.2
1985.0554216867,4621.7
1984.1596385542,4711.2
1983.2638554217,4633.6
1982.3680722892,4707.9
1981.4722891566,4771.
1980.5765060241,4748.9
1979.6807228916,4804.5
1978.7849397590,4696.9
1977.8891566265,4722.
1976.993373494,4770.5
1976.0975903614,4699.6
1975.2018072289,4843.7
1974.3060240964,4724.3
1973.4102409639,4703.2
1972.5144578313,4780.2
1971.6186746988,4735.
1970.7228915663,4768.9
1969.8271084337,4748.7
1968.9313253012,4708.7
1968.0355421687,4865.8
1967.1397590361,4707.2
1966.2439759036,4636.6
1965.3481927711,4831.5
1964.4524096386,4786.3
1963.5566265060,4860.5
1962.6608433735,4842.9
1961.765060241,4832.
1960.8692771084,4745.3
1959.9734939759,4752.7
1959.0777108434,4800.3
1958.1819277108,4754.6
1957.2861445783,4809.9
1956.3903614458,4820.2
1955.4945783133,4780.9
1954.5987951807,4729.5
1953.7030120482,4802.8
1952.8072289157,4786.7
1951.9114457831,4770.9
1951.0156626506,4812.8
1950.1198795181,4781.
1949.2240963855,4761.8
1948.3283132530,4782.4
1947.4325301205,4928.5
1946.536746988,4725.6
1945.6409638554,4888.8
1944.7451807229,4781.5
1943.8493975904,4845.7
1942.9536144578,4943.7
1942.0578313253,4842.2
1941.1620481928,4878.4
1940.2662650602,4904.3
1939.3704819277,4798.4
1938.4746987952,4934.2
1937.5789156627,4897.1
1936.6831325301,4938.
1935.7873493976,4776.1
1934.8915662651,4912.8
1933.9957831325,4827.5
1933.1000000000,4895.5
1932.2042168675,4950.4
1931.3084337349,4889.
1930.4126506024,4969.7
1929.5168674699,4947.4
1928.6210843373,4995.4
1927.7253012048,5026.9
1926.8295180723,4929.8
1925.9337349398,4972.2
1925.0379518072,4960.1
1924.1421686747,5006.2
1923.2463855422,5026.9
1922.3506024096,4978.8
1921.4548192771,5070.1
1920.5590361446,5112.6
1919.6632530120,5112.8
1918.7674698795,5017.8
1917.871686747,5175.3
1916.9759036145,5055.2
1916.0801204819,5113.2
1915.1843373494,5154.7
1914.2885542169,5193.
1913.3927710843,4986.1
1912.4969879518,5240.7
1911.6012048193,5270.8
1910.7054216867,5186.2
1909.8096385542,5173.5
1908.9138554217,5270.5
1908.0180722892,5305.2
1907.1222891566,5268.5
1906.2265060241,5353.9
1905.3307228916,5434.
1904.4349397590,5408.2
1903.5391566265,5420.6
1902.643373494,5496.2
1901.7475903614,5458.5
1900.8518072289,5460.6
1899.9560240964,5491.4
1899.0602409639,5696.
1898.1644578313,5586.
1897.2686746988,5806.9
1896.3728915663,5865.4
1895.4771084337,5889.8
1894.5813253012,5913.2
1893.6855421687,5920.1
1892.7897590361,6075.
1891.8939759036,6001.3
1890.9981927711,6054.1
1890.1024096386,6192.5
1889.2066265060,6239.9
1888.3108433735,6268.1
1887.415060241,6233.5
1886.5192771084,6251.2
1885.6234939759,6415.7
1884.7277108434,6254.9
1883.8319277108,6336.1
1882.9361445783,6399.6
1882.0403614458,6376.
1881.1445783133,6496.5
1880.2487951807,6478.9
1879.3530120482,6514.3
1878.4572289157,6454.8
1877.5614457831,6491.9
1876.6656626506,6559.4
1875.7698795181,6763.9
1874.8740963855,6469.2
1873.9783132530,6434.3
1873.0825301205,6349.2
1872.186746988,6431.2
1871.2909638554,6363.4
1870.3951807229,6321.
1869.4993975904,6341.
1868.6036144578,6368.5
1867.7078313253,6402.5
1866.8120481928,6196.6
1865.9162650602,6215.9
1865.0204819277,6260.
1864.1246987952,6183.7
1863.2289156627,6322.7
1862.3331325301,6221.
1861.4373493976,6283.
1860.5415662651,6353.5
1859.6457831325,6321.6
1858.7500000000,6372.9
1857.8542168675,6218.2
1856.9584337349,6384.7
1856.0626506024,6289.5
1855.1668674699,6382.9
1854.2710843373,6286.6
1853.3753012048,6276.4
1852.4795180723,6276.8
1851.5837349398,6130.5
1850.6879518072,6094.5
1849.7921686747,6155.
1848.8963855422,5926.6
1848.0006024096,5899.6
1847.1048192771,5829.7
1846.2090361446,5853.6
1845.3132530120,5803.4
1844.4174698795,5666.2
1843.521686747,5773.
1842.6259036145,5651.6
1841.7301204819,5488.5
1840.8343373494,5409.7
1839.9385542169,5518.4
1839.0427710843,5429.2
1838.1469879518,5369.3
1837.2512048193,5327.6
1836.3554216867,5240.
1835.4596385542,5105.1
1834.5638554217,5091.
1833.6680722892,5184.7
1832.7722891566,4969.
1831.8765060241,5039.6
1830.9807228916,4995.2
1830.0849397590,4825.8
1829.1891566265,4911.4
1828.293373494,4869.7
1827.3975903614,4850.2
1826.5018072289,4750.9
1825.6060240964,4744.4
1824.7102409639,4727.9
1823.8144578313,4849.
1822.9186746988,4683.5
1822.0228915663,4745.9
1821.1271084337,4706.5
1820.2313253012,4623.3
1819.3355421687,4672.
1818.4397590361,4642.7
1817.5439759036,4636.1
1816.6481927711,4615.5
1815.7524096386,4618.9
1814.8566265060,4628.5
1813.9608433735,4694.1
1813.065060241,4641.8
1812.1692771084,4722.4
1811.2734939759,4749.7
1810.3777108434,4800.2
1809.4819277108,4666.7
1808.5861445783,4734.1
1807.6903614458,4824.5
1806.7945783133,4752.9
1805.8987951807,4755.2
1805.0030120482,4692.3
1804.1072289157,4847.7
1803.2114457831,4735.2
1802.3156626506,4685.
1801.4198795181,4732.3
1800.5240963855,4640.3
1799.6283132530,4707.3
1798.7325301205,4739.1
1797.836746988,4708.8
1796.9409638554,4713.
1796.0451807229,4648.5
1795.1493975904,4792.2
1794.2536144578,4686.9
1793.3578313253,4704.
1792.4620481928,4670.8
1791.5662650602,4819.5
1790.6704819277,4937.3
1789.7746987952,4661.6
1788.8789156627,4835.8
1787.9831325301,4724.7
1787.0873493976,4808.8
1786.1915662651,4849.5
1785.2957831325,4900.3
1784.4,4822.7
1783.5042168675,5060.9
1782.6084337349,5010.9
1781.7126506024,5005.2
1780.8168674699,4924.2
1779.9210843373,5049.8
1779.0253012048,5082.1
1778.1295180723,5172.2
1777.2337349398,5088.5
1776.3379518072,5171.8
1775.4421686747,5180.1
1774.5463855422,5239.4
1773.6506024096,5218.7
1772.7548192771,5264.2
1771.8590361446,5249.2
1770.9632530120,5217.2
1770.0674698795,5310.5
1769.171686747,5266.7
1768.2759036145,5323.7
1767.3801204819,5196.5
1766.4843373494,5248.5
1765.5885542169,5454.2
1764.6927710843,5247.2
1763.7969879518,5377.3
1762.9012048193,5284.9
1762.0054216867,5350.
1761.1096385542,5385.8
1760.2138554217,5490.4
1759.3180722892,5329.2
1758.4222891566,5317.1
1757.5265060241,5410.5
1756.6307228916,5397.8
1755.7349397590,5326.6
1754.8391566265,5378.3
1753.943373494,5309.
1753.0475903614,5326.2
1752.1518072289,5479.4
1751.2560240964,5404.9
1750.3602409639,5254.4
1749.4644578313,5303.5
1748.5686746988,5296.2
1747.6728915663,5208.7
1746.7771084337,5287.3
1745.8813253012,5375.2
